exercise_id,name,primary_muscle,secondary_muscles,movement_pattern,equipment,unilateral,plane,category,level,default_rep_range,default_sets,default_rest_sec,avg_rep_time_sec,cues,contraindications,tags,variants_of,image_path
EXO-0001,Air squat,Quadriceps,Glutes;Core,squat,Poids du corps,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,12-20,3,45,2.0,Gaine le tronc; talons au sol,Genou,CAF;cross;home,,
EXO-0002,Goblet squat,Quadriceps,Glutes;sanglage,squat,Kettlebell;Haltères,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-15,4,75,2.5,Coudes sous le KB; buste droit,Genou,CAF;cross,,
EXO-0003,Back squat,Quadriceps,Glutes;sangle lombaire,squat,Barre,0,sagittal,Polyarticulaire,Intermédiaire;Avancé,5-10,4,120,3.0,Respire et gaine,Rachis lombaire,force;cross,,
EXO-0004,Front squat,Quadriceps,Core,squat,Barre,0,sagittal,Polyarticulaire,Intermédiaire,5-10,4,120,3.0,Coudes hauts; torse vertical,Poignet,force;cross,,
EXO-0005,Walking lunge,Quadriceps,Glutes;Core,lunge,Haltères;Kettlebell,1,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-14,3,60,2.5,Grand pas; genou au sol,Genou,CAF;cross,,
EXO-0006,Reverse lunge,Glutes,Quadriceps;lombaires,lunge,Poids du corps;Haltères,1,sagittal,Polyarticulaire,Débutant;Intermédiaire,10-12,3,60,2.5,Pose doux le genou,Genou,CAF;core;home,,
EXO-0007,Hip thrust,Glutes,Ischios;Core,hinge,Barre;Haltères;Poids du corps,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,8-15,4,75,2.5,Chin tuck; full lockout,Hanche,CAF;core,,
EXO-0008,Glute bridge,Glutes,Ischios,hinge,Poids du corps;Haltères,0,sagittal,Polyarticulaire,Débutant,12-20,3,45,2.0,Serre en haut,Hanche,CAF;core;home,,
EXO-0009,RDL (barre),Ischios,Glutes;lombaires,hinge,Barre,0,sagittal,Polyarticulaire,Intermédiaire,6-10,4,90,3.0,Hanches en arrière; neutre lombaire,Ischios;dos,force;cross,,
EXO-0010,RDL (haltères),Ischios,Glutes,hinge,Haltères,0,sagittal,Polyarticulaire,Débutant;Intermédiaire,8-12,4,90,2.8,Trajectoire proche tibias,Ischios,CAF;cross,,
EXO-0011,Dead bug,Core,,anti-extension,Poids du corps,0,transverse,Gainage,Débutant,20-40s,3,30,1.0,Bas du dos au sol, ,core;CAF;home,,
EXO-0012,Side plank,Obliques,Glutes,anti-rotation,Poids du corps,0,frontal,Gainage,Débutant;Intermédiaire,20-40s,3,30,1.0,Hanches hautes,Épaule,core;CAF;home,,
